ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
C510,CESSNA,Cessna Citation Mustang,Jet,2,105,8645,8000,Light,2423.5,Fixed-wing,287
C525,CESSNA,Cessna CitationJet/CJ1,Jet,2,108,10700,9900,Light,2708.3,Fixed-wing,116
C526,CESSNA,Cessna 526 CitationJet,Jet,2,107,10700,9900,Light,2702.3,Fixed-wing,0
C550,CESSNA,Cessna Citation II/Bravo,Jet,2,105,15100,13500,Light,3226.9,Fixed-wing,565
C551,CESSNA,Cessna Citation II/SP,Jet,2,100,14800,12000,Light,3251.6,Fixed-wing,37
C55B,CESSNA,Cessna Citation Bravo,Jet,2,117,14800,13500,Light,3251.6,Fixed-wing,95
C560,CESSNA,Cessna Citation V/Ultra/Encore,Jet,2,103,16300,15200,Medium,3455,Fixed-wing,584
C56X,CESSNA,Cessna Excel/XLS,Jet,2,116,20200,18700,Medium,3766.9,Fixed-wing,636
C650,CESSNA,Cessna III/VI/VII,Jet,2,126,23000,17000,Medium,3841.8,Fixed-wing,214
C680,CESSNA,Cessna Citation Sovereign,Jet,2,108,30300,27100,Medium,5007.4,Fixed-wing,296
C68A,CESSNA,Cessna Citation Latitude,Jet,2,100,30800,27575,Medium,5536.9,Fixed-wing,194
C700,CESSNA,Cessna Citation Longitude,Jet,2,121,39500,33500,Medium,6169.2,Fixed-wing,33
C72R,CESSNA,Cessna 172RG Cutlass RG,Piston,1,62,2450,2450,Light,1484.4,Fixed-wing,467
C750,CESSNA,Cessna Citation X,Jet,2,131,36100,31800,Medium,5691.5,Fixed-wing,284
C77R,CESSNA,Cessna 177 Cardinal RG,Piston,1,65,2800,2800,Light,1467.4,Fixed-wing,798
C82R,CESSNA,Cessna Skylane RG,Piston,1,64,3100,2950,Light,1564,Fixed-wing,719
CH7A,AERONCA,Aeronca 7AC,Piston,1,56,1220,1220,Light,1178.9,Fixed-wing,2133
CH7B,BELLANCA,Bellanca 7GCBC Citabria,Piston,1,56,1800,1800,Light,1178,Fixed-wing,478
CL30,BOMBARDIER,Bombardier (Canadair) Challenger 300,Jet,2,126,38850,33750,Medium,5445,Fixed-wing,482
CL35,BOMBARDIER,Bombardier Challenger 350,Jet,2,124,40600,34150,Medium,5807,Fixed-wing,200
CL60,CANADAIR,Canadair Challenger 600/601/604,Jet,2,137,47600,38000,Medium,5457.3,Fixed-wing,630
CN35,CASA,CASA CN-235,Turboprop,2,110,36376,36376,Medium,6581.7,Fixed-wing,1
COL3,LANCAIR-CESSNA,Lancair LC-40 Columbia 300,Piston,1,78,3400,3230,Light,1390.2,Fixed-wing,76
COL4,LANCAIR-CESSNA,Lancair LC-41 Columbia 400,Piston,1,78,3400,3230,Light,1390.2,Fixed-wing,469
CRJ1,CANADAIR,canadair CRJ-100,Jet,2,141,47450,47000,Medium,7386.9,Fixed-wing,16
CRJ2,CANADAIR,canadair CRJ-200,Jet,2,141,47450,44700,Medium,7302.9,Fixed-wing,511
CRJ7,CANADAIR,canadair CRJ-700,Jet,2,135,75000,67000,Medium,9625.1,Fixed-wing,249
CRJ9,CANADAIR,canadair CRJ-900,Jet,2,141,80500,73500,Medium,11334.2,Fixed-wing,306
CRUZ,CZAW,CZAW SportCruiser,Piston,1,39,1320,1320,Light,1020.4,Fixed-wing,214
CVLP,CONVAIR,Convair CV-440 Metropolitan,Piston,2,107,41790,39800,Medium,8571.6,Fixed-wing,11
CVLT,CONVAIR-CANADAIR,"Convair CV-580/600/640, C-131H",Turboprop,2,107,58500,52000,Medium,11622.2,Fixed-wing,2
D328,DORNIER,Dornier 328 Series,Turboprop,2,110,30843,31725,Medium,5896.5,Fixed-wing,46
DA40,DIAMOND,Diamond Star DA40,Piston,1,77,2888,2407,Light,1537.5,Fixed-wing,820
DA42,DIAMOND,Diamond Twin Star,Piston,2,88,3935,3748,Light,1803,Fixed-wing,203
DC10,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) DC 10-10/30/40,Jet,3,149,580000,436000,Heavy,32711,Fixed-wing,76
DC3,DOUGLAS,Douglas DC 3,Piston,2,97,25200,24400,Medium,7326.6,Fixed-wing,175
DC3S,DOUGLAS,Douglas Super DC-3,Piston,2,97,25200,24400,Medium,7280,Fixed-wing,7
DC6,DOUGLAS,Douglas DC 6,Piston,4,108,107000,88200,Medium,13464,Fixed-wing,30
DC87,DOUGLAS,Douglas DC-8-70,Jet,4,143,335100,249990,Heavy,30530,Fixed-wing,6
DC91,DOUGLAS,Douglas DC 9-10,Jet,2,132,90700,81700,Medium,10874.4,Fixed-wing,14
DC93,DOUGLAS,Douglas DC 9-30,Jet,2,132,108000,99000,Medium,12840.2,Fixed-wing,12
DC95,DOUGLAS,Douglas DC 9-50,Jet,2,135,121000,110000,Medium,14322.2,Fixed-wing,1
DH8A,DEHAVILLAND CANADA,DeHavilland Canada DHC8-100,Turboprop,2,92,34500,33900,Medium,7410,Fixed-wing,22
DH8B,DEHAVILLAND CANADA,DeHavilland Canada DHC8-200,Turboprop,2,92,36300,34500,Medium,7410,Fixed-wing,36
DH8C,DEHAVILLAND CANADA,DeHavilland Canada Dash 8/DHC8-300,Turboprop,2,99,41100,42000,Medium,8925,Fixed-wing,26
DH8D,DEHAVILLAND CANADA,DeHavilland Canada 8/DHC8-400,Turboprop,2,125,64500,61750,Medium,11641.4,Fixed-wing,56
DHC6,DEHAVILLAND CANADA,DeHavilland Canada Twin Otter,Turboprop,2,74,12500,12300,Light,4256.3,Fixed-wing,131
DHC7,DEHAVILLAND CANADA,DeHavilland Canada DHC-7,Turboprop,4,83,44000,42000,Medium,8806.5,Fixed-wing,8
DV20,DIAMOND,Diamond 20 Katana,Piston,1,59,1609,1609,Light,1302.5,Fixed-wing,327
E110,EMBRAER,Embraer EMB110 Bandeirante,Turboprop,2,92,13010,12566,Light,3333.8,Fixed-wing,14
E120,EMBRAER,Embraer Brasilia EMB 120,Turboprop,2,113,26433,25794,Medium,5294.1,Fixed-wing,50
E135,EMBRAER,Embraer ERJ 135/140/Legacy,Jet,2,124,44533,41226,Medium,7455.3,Fixed-wing,165
E145,EMBRAER,Embraer ERJ-145,Jet,2,124,48502,41226,Medium,7802.3,Fixed-wing,379
E170,EMBRAER,Embraer 170,Jet,2,124,85098,73413,Medium,9823.5,Fixed-wing,663
E190,EMBRAER,Embraer 190,Jet,2,124,110892,94799,Medium,12912.5,Fixed-wing,126
E195,EMBRAER,Embraer 195,Jet,2,135,115280,100972,Medium,13733.6,Fixed-wing,3
