ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
RV12,VAN'S ,Van's RV-12,Piston,1,53,1320,1320,Light,915.8,Fixed-wing,648
S108,STINSON,Stinson 108 Voyager,Piston,1,70,2400,2400,Light,1295.1,Fixed-wing,1412
S22T,CIRRUS,Cirrus SR-22 Turbo,Piston,1,77,3600,3600,Light,1497.3,Fixed-wing,1561
SB20,SAAB,Saab 2000,Turboprop,1,122,50706,48501,Medium,8623.1,Fixed-wing,11
SBR1,NORTH AMERICAN ROCKWELL,North American Rockwell Sabre 40/60,Jet,2,126,20172,17500,Medium,2838.9,Fixed-wing,15
SC7,SHORT,Short Skyvan SC7,Turboprop,2,91,12500,12500,Light,3467.9,Fixed-wing,32
SF34,SAAB,Saab SF 340,Turboprop,2,124,28000,27200,Medium,5896.6,Fixed-wing,73
SH33,SHORT,Shorts 330,Turboprop,2,96,22900,22597,Medium,5336.1,Fixed-wing,16
SH36,SHORT,Shorts 360,Turboprop,2,104,27117,26499,Medium,6427.8,Fixed-wing,63
SR20,CIRRUS,Cirrus SR-20,Piston,1,74,2126,2900,Light,1498.3,Fixed-wing,1024
SR22,CIRRUS,Cirrus SR 22,Piston,1,78,2358,3400,Light,1498.3,Fixed-wing,3552
SU95,SUKHOI,SUKHOI Superjet 100-95,Jet,2,140,101148,90390,Medium,10443.8,Fixed-wing,0
SW3,FAIRCHILD SWEARINGEN,Fairchild Swearingen SA-226T/TB Merlin 3,Turboprop,2,105,12500,12500,Light,2657.4,Fixed-wing,56
T210,CESSNA,Cessna T210 Turbo Centurion,Piston,1,73,3800,3800,Light,1620.2,Fixed-wing,715
T28,NORTH AMERICAN,North American T-28 Trojan,Piston,1,62,8500,7809,Light,1903.8,Fixed-wing,212
T34P,BEECH,Beech T-34/45 Mentor,Turboprop,1,69,5500,5300,Light,1460.3,Fixed-wing,444
T6,NORTH AMERICAN,North American T-6 Texan,Piston,1,56,5617,5329,Light,1768,Fixed-wing,417
TAYB,TAYLORCRAFT,Taylorcraft BC,Piston,1,50,1500,1500,Light,1242,Fixed-wing,1358
TB20,SOCATA,Socata TB-20 Trinidad,Piston,1,75,3080,3080,Light,1298.1,Fixed-wing,194
TBM7,SOCATA,Socata TBM-700/700A,Turboprop,1,74,6614,6250,Light,2059.9,Fixed-wing,363
TBM8,SOCATA,Socata TBM-850,Turboprop,1,85,7394,7024,Light,2058.8,Fixed-wing,330
TBM9,SOCATA,Socata TBM-900,Turboprop,1,85,7394,7024,Light,2094.4,Fixed-wing,127
TEX2,RAYTHEON,Raytheon Texan 2,Turboprop,1,103,6500,6900,Light,1657.9,Fixed-wing,446
TOBA,SOCATA,Socata TB-10 Tobago,Piston,1,65,2530,2530,Light,1301.1,Fixed-wing,51
WW24,IAI,IAI 1124 Westwind,Jet,2,129,23500,19000,Medium,3140,Fixed-wing,99
